time,swing,boom,arm,bucket,swingmodel,boommodel,armmodel,bucketmodel
23.333439,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
23.344666,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
23.358455,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
23.377267,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.389309,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.401594,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.414547,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.426627,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.438127,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.450126,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.460366,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.471936,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.482622,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.494617,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.505944,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.517055,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.529706,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.540584,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.553344,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.564208,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.577908,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.590125,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.602973,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.615644,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.627254,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.639180,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.663209,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.677446,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.689710,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.703991,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.717274,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.728838,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.740979,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.756476,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.768931,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.781905,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
